step,name,mu,sigma,precision,recall,f1,delta_f1,fp,delta_fp,fn,time_ms
0,Baseline (Frame Diff만),93.5,47.3,0.6985,0.9929,0.8201,+0.8201,60,60,1,13.5
1,+ CLAHE,108.8,47.2,0.6985,0.9929,0.8201,+0.0000,60,0,1,16.0
2,+ Gaussian + Median,108.2,45.9,0.6985,0.9929,0.8201,+0.0000,60,0,1,407.8
3,+ Morphology,108.2,45.9,0.6985,0.9929,0.8201,+0.0000,60,0,1,413.2
4,+ Shadow Removal (최종),108.2,45.9,0.6985,0.9929,0.8201,+0.0000,60,0,1,309.1
